title,link
1. An Unusual Story,https://www.imdb.com/title/tt22687892/?ref_=sr_t_1
2. Kimler Geldi Kimler Geçti,https://www.imdb.com/title/tt28267514/?ref_=sr_t_2
3. Enemy of Love,https://www.imdb.com/title/tt29621957/?ref_=sr_t_3
4. Yoktan Seçmeli,https://www.imdb.com/title/tt14369292/?ref_=sr_t_4
5. Nomen,https://www.imdb.com/title/tt19496072/?ref_=sr_t_5
6. Altay,https://www.imdb.com/title/tt24178732/?ref_=sr_t_6
7. One Way Ticket,https://www.imdb.com/title/tt18949338/?ref_=sr_t_7
8. Kral Kaybederse,https://www.imdb.com/title/tt14899630/?ref_=sr_t_8
9. Blue Cage,https://www.imdb.com/title/tt26454111/?ref_=sr_t_9
10. Kör Nokta,https://www.imdb.com/title/tt20356976/?ref_=sr_t_10
11. Üvey Baba,https://www.imdb.com/title/tt22801066/?ref_=sr_t_11
12. Siyaha Bulasan Kadinlar,https://www.imdb.com/title/tt19246572/?ref_=sr_t_12
13. Hürriyet,https://www.imdb.com/title/tt28022148/?ref_=sr_t_13
14. Hanedan,https://www.imdb.com/title/tt15281714/?ref_=sr_t_14
15. Cennet Koyu,https://www.imdb.com/title/tt15471794/?ref_=sr_t_15
16. Constantinople 2023,https://www.imdb.com/title/tt26322594/?ref_=sr_t_16
17. What AM I made of?,https://www.imdb.com/title/tt14866140/?ref_=sr_t_17
18. Dof Tif,https://www.imdb.com/title/tt10019846/?ref_=sr_t_18
19. Al Hayba,https://www.imdb.com/title/tt15789452/?ref_=sr_t_19
20. Kibris 1974,https://www.imdb.com/title/tt8344002/?ref_=sr_t_20
21. Öteki Kadin,https://www.imdb.com/title/tt22728642/?ref_=sr_t_21
22. Greater Than Death,https://www.imdb.com/title/tt8863030/?ref_=sr_t_22
23. Kusursuz Dunya,https://www.imdb.com/title/tt8344000/?ref_=sr_t_23
24. Külkedisi,https://www.imdb.com/title/tt22728886/?ref_=sr_t_24
25. Noren Kahrio,https://www.imdb.com/title/tt13567078/?ref_=sr_t_25
26. Oglum,https://www.imdb.com/title/tt8343994/?ref_=sr_t_26
27. The Guest Chef,https://www.imdb.com/title/tt14321706/?ref_=sr_t_27
28. Choosing My Bridesmaid,https://www.imdb.com/title/tt14321788/?ref_=sr_t_28
29. Icimdeki Yangin,https://www.imdb.com/title/tt8344166/?ref_=sr_t_29
30. Baby Shower,https://www.imdb.com/title/tt14321934/?ref_=sr_t_30
31. BAM Become A Model,https://www.imdb.com/title/tt21230732/?ref_=sr_t_31
32. The Pathology of Love,https://www.imdb.com/title/tt13131646/?ref_=sr_t_32
33. The Books of Alexandria,https://www.imdb.com/title/tt27636980/?ref_=sr_t_33
34. Spy Angels 2 Dr.Mutant,https://www.imdb.com/title/tt24248818/?ref_=sr_t_34
35. Shadows of Stars,https://www.imdb.com/title/tt12994232/?ref_=sr_t_35
36. Kids' Choice,https://www.imdb.com/title/tt14321828/?ref_=sr_t_36
37. Cennetin Kuzeyi,https://www.imdb.com/title/tt8344104/?ref_=sr_t_37
38. Gambly,https://www.imdb.com/title/tt14321586/?ref_=sr_t_38
39. Telegol,https://www.imdb.com/title/tt15562068/?ref_=sr_t_39
40. Trapped in a Blue Cage,https://www.imdb.com/title/tt27734201/?ref_=sr_t_40
41. Gercek Kesit: Yeni Turkiye,https://www.imdb.com/title/tt28377747/?ref_=sr_t_41
42. One thousand and one nights,https://www.imdb.com/title/tt26660220/?ref_=sr_t_42
43. Türk Dedektif,https://www.imdb.com/title/tt30492277/?ref_=sr_t_43
44. Asaf,https://www.imdb.com/title/tt23480510/?ref_=sr_t_44
45. Gaddar,https://www.imdb.com/title/tt30461250/?ref_=sr_t_45
46. Kübra,https://www.imdb.com/title/tt26760483/?ref_=sr_t_46
47. Survivor 2024 All Star,https://www.imdb.com/title/tt30361848/?ref_=sr_t_47
48. Atatürk 1881 - 1919,https://www.imdb.com/title/tt15676170/?ref_=sr_t_48
49. El Turco,https://www.imdb.com/title/tt19079130/?ref_=sr_t_49
50. Yildizlar Bana Uzak,https://www.imdb.com/title/tt23865478/?ref_=sr_t_50
51. Fatih Portakal ile Sözcü Ana Haber,https://www.imdb.com/title/tt27882993/?ref_=sr_t_51
52. Sokaklar Bizik,https://www.imdb.com/title/tt28132667/?ref_=sr_t_52
53. Deep Purple,https://www.imdb.com/title/tt27032643/?ref_=sr_t_53
54. Arak,https://www.imdb.com/title/tt30054237/?ref_=sr_t_54
55. Kizil Goncalar,https://www.imdb.com/title/tt28334662/?ref_=sr_t_55
56. Dünya Güzellerim Masada,https://www.imdb.com/title/tt30466594/?ref_=sr_t_56
57. Sandik Kokusu,https://www.imdb.com/title/tt29926954/?ref_=sr_t_57
58. Altin Kafes,https://www.imdb.com/title/tt29731276/?ref_=sr_t_58
59. Ne Gemiler Yaktim,https://www.imdb.com/title/tt30225782/?ref_=sr_t_59
60. Hür,https://www.imdb.com/title/tt21095400/?ref_=sr_t_60
61. Chef's Delight,https://www.imdb.com/title/tt30151665/?ref_=sr_t_61
62. Saladin: The Conquerer of Jerusalem,https://www.imdb.com/title/tt21856856/?ref_=sr_t_62
63. Bir Derdim Var,https://www.imdb.com/title/tt29291631/?ref_=sr_t_63
64. Hide Me,https://www.imdb.com/title/tt29626178/?ref_=sr_t_64
65. Sahane Hayatim,https://www.imdb.com/title/tt28379984/?ref_=sr_t_65
66. Deneme Çekimi,https://www.imdb.com/title/tt27796339/?ref_=sr_t_66
67. Teskilat-i Mahsusa Trablus,https://www.imdb.com/title/tt21279294/?ref_=sr_t_67
68. Kader Oyunlari,https://www.imdb.com/title/tt22642898/?ref_=sr_t_68
69. Kod Adi Kirlangic,https://www.imdb.com/title/tt30025590/?ref_=sr_t_69
70. Kader Baglari,https://www.imdb.com/title/tt28334630/?ref_=sr_t_70
71. Kuzgun: Dipsiz Karanlik,https://www.imdb.com/title/tt29425854/?ref_=sr_t_71
72. Zirve,https://www.imdb.com/title/tt28780239/?ref_=sr_t_72
73. Kirli Sepeti,https://www.imdb.com/title/tt28380138/?ref_=sr_t_73
74. Gokturkler Asya'nin Efendileri,https://www.imdb.com/title/tt15690218/?ref_=sr_t_74
75. Boundless Love,https://www.imdb.com/title/tt29258720/?ref_=sr_t_75
76. Sarmasik Zamani,https://www.imdb.com/title/tt23396714/?ref_=sr_t_76
77. Murat Aksoy ile Hafta Sonu,https://www.imdb.com/title/tt30136654/?ref_=sr_t_77
78. Wild Heart,https://www.imdb.com/title/tt28334633/?ref_=sr_t_78
79. Another Love,https://www.imdb.com/title/tt22727518/?ref_=sr_t_79
80. Kapi,https://www.imdb.com/title/tt27796193/?ref_=sr_t_80
81. Wishing Stone,https://www.imdb.com/title/tt22869606/?ref_=sr_t_81
82. Sapphire,https://www.imdb.com/title/tt28355499/?ref_=sr_t_82
83. 2023-2024 Süper Lig,https://www.imdb.com/title/tt28638980/?ref_=sr_t_83
84. Ruhun Duymaz,https://www.imdb.com/title/tt28334660/?ref_=sr_t_84
85. Magarsus,https://www.imdb.com/title/tt23032590/?ref_=sr_t_85
86. Yaz Sarkisi,https://www.imdb.com/title/tt28297345/?ref_=sr_t_86
87. Hayatimin Nesesi,https://www.imdb.com/title/tt28146056/?ref_=sr_t_87
88. If You Love,https://www.imdb.com/title/tt28228754/?ref_=sr_t_88
89. Dönence,https://www.imdb.com/title/tt27478354/?ref_=sr_t_89
90. The Girl of the Green Valley,https://www.imdb.com/title/tt19246424/?ref_=sr_t_90
"91. You've Made Your Bed, Now Lie in It",https://www.imdb.com/title/tt27494111/?ref_=sr_t_91
92. My Beautiful Family,https://www.imdb.com/title/tt27874348/?ref_=sr_t_92
93. Üvey Anne,https://www.imdb.com/title/tt28131349/?ref_=sr_t_93
94. Vermem Seni Ellere,https://www.imdb.com/title/tt27739128/?ref_=sr_t_94
95. Yeni Nesil Ebeveynler,https://www.imdb.com/title/tt28106998/?ref_=sr_t_95
96. The Prince,https://www.imdb.com/title/tt14533970/?ref_=sr_t_96
97. Kismet,https://www.imdb.com/title/tt28075973/?ref_=sr_t_97
98. Terapi,https://www.imdb.com/title/tt27827768/?ref_=sr_t_98
99. Search,https://www.imdb.com/title/tt21308714/?ref_=sr_t_99
100. Tadina Doyulmaz Sohbetler,https://www.imdb.com/title/tt28078513/?ref_=sr_t_100
101. The Blue Exile,https://www.imdb.com/title/tt22394752/?ref_=sr_t_101
102. Actress,https://www.imdb.com/title/tt14107656/?ref_=sr_t_102
103. Düsünüyorum Öyleyse Varim,https://www.imdb.com/title/tt28021929/?ref_=sr_t_103
104. Rumi,https://www.imdb.com/title/tt14533598/?ref_=sr_t_104
105. Hay Sultan,https://www.imdb.com/title/tt12512714/?ref_=sr_t_105
106. Modern Dogu Masallari,https://www.imdb.com/title/tt21268600/?ref_=sr_t_106
107. The Last Day,https://www.imdb.com/title/tt21095420/?ref_=sr_t_107
108. Ibn-I Sina,https://www.imdb.com/title/tt21279302/?ref_=sr_t_108
109. Sebeke,https://www.imdb.com/title/tt23459414/?ref_=sr_t_109
110. Bir Fetih Ülküsü Kizilelma,https://www.imdb.com/title/tt21345412/?ref_=sr_t_110
111. Tozkoparan Iskender Gölge,https://www.imdb.com/title/tt27843403/?ref_=sr_t_111
112. Serhat,https://www.imdb.com/title/tt23813378/?ref_=sr_t_112
113. Organizasyon Bizim Isimiz,https://www.imdb.com/title/tt23322924/?ref_=sr_t_113
114. Yardimci Oyuncu,https://www.imdb.com/title/tt27795928/?ref_=sr_t_114
115. Yesil Deniz Milenyum,https://www.imdb.com/title/tt26625889/?ref_=sr_t_115
116. #adaleTT,https://www.imdb.com/title/tt23109230/?ref_=sr_t_116
117. Biltmore Oteli Cinayeti,https://www.imdb.com/title/tt26542520/?ref_=sr_t_117
118. Sanzelize Dügün Salonu,https://www.imdb.com/title/tt27032626/?ref_=sr_t_118
119. Metamorfoz: Kirilma,https://www.imdb.com/title/tt27250379/?ref_=sr_t_119
120. Dayton,https://www.imdb.com/title/tt27694624/?ref_=sr_t_120
121. Koyu Beyaz,https://www.imdb.com/title/tt23322920/?ref_=sr_t_121
122. Yangin Günleri Independenta,https://www.imdb.com/title/tt22394746/?ref_=sr_t_122
123. Eyvah Ramazan Bey,https://www.imdb.com/title/tt23108508/?ref_=sr_t_123
124. Askimiz Yeter,https://www.imdb.com/title/tt26345503/?ref_=sr_t_124
125. UniversDeli,https://www.imdb.com/title/tt27747195/?ref_=sr_t_125
126. The Tailor,https://www.imdb.com/title/tt15473010/?ref_=sr_t_126
127. Seker Fareler,https://www.imdb.com/title/tt28644679/?ref_=sr_t_127
